,Unnamed: 0,Article,Sentence,Sentence Position,Sentence Length,Numeric Data,Thematic Words,Entropy,POS tags,TF-ISF,Aggregate Score,Busy Path,Title,Label
1040,1040,A65,S21,0.14,0.65,0.0,0.89,0.98,0.77,0.76,0.72,0.86,0.6,0.92
1041,1041,A65,S22,0.19,0.7,0.0,0.16,0.19,0.17,0.19,0.94,0.47,0.0,0.883
1042,1042,A65,S23,0.24,1.0,0.0,0.35,0.42,0.62,0.51,0.94,0.56,0.2,0.879
1043,1043,A65,S24,0.3,0.72,0.0,0.19,0.25,0.21,0.24,0.94,0.47,0.4,0.861
1044,1044,A65,S25,0.35,0.77,0.0,0.22,0.27,0.2,0.25,0.93,0.56,0.4,0.883
1045,1045,A65,S26,0.41,0.77,0.0,0.24,0.27,0.28,0.25,1.0,0.36,0.4,0.881
1046,1046,A65,S27,0.46,0.91,0.0,0.41,0.44,0.38,0.36,0.93,0.67,0.4,0.897
1047,1047,A65,S28,0.51,0.86,0.0,0.38,0.44,0.28,0.37,0.85,0.83,0.2,0.904
1048,1048,A65,S29,0.57,0.91,0.0,0.65,0.7,0.54,0.54,0.86,0.64,0.4,0.914
1049,1049,A65,S30,0.62,0.79,0.0,0.35,0.34,0.27,0.24,1.0,0.33,0.4,0.89
1050,1050,A65,S31,0.68,0.81,0.0,0.32,0.35,0.32,0.28,0.97,0.53,1.0,0.88
1051,1051,A65,S32,0.73,0.93,0.0,0.3,0.39,0.57,0.41,0.97,0.53,0.6,0.894
1052,1052,A65,S33,0.78,0.72,0.0,0.16,0.25,0.19,0.23,0.96,0.47,0.0,0.871
1053,1053,A65,S34,0.84,0.6,0.0,0.14,0.15,0.11,0.08,0.75,0.81,0.0,0.865
1054,1054,A65,S35,0.89,0.88,0.5,0.43,0.5,0.53,0.67,0.87,0.67,0.4,0.92
1055,1055,A65,S36,0.95,0.81,0.0,0.24,0.29,0.26,0.35,0.93,0.53,0.0,0.87
1056,1056,A65,S37,1.0,0.67,0.0,0.16,0.15,0.12,0.16,0.89,0.61,0.4,0.826
1057,1057,A66,S1,0.86,0.53,0.0,0.0,0.04,0.04,0.06,0.59,1.0,0.0,0.735
1058,1058,A66,S2,0.71,0.57,0.0,0.1,0.15,0.08,0.06,0.62,0.92,0.0,0.83
1059,1059,A66,S3,0.57,0.88,0.0,0.43,0.43,0.41,0.33,0.96,0.62,0.1,0.898
1060,1060,A66,S4,0.43,0.72,1.0,0.8,0.97,0.79,0.69,0.93,0.69,1.0,0.98
1061,1061,A66,S5,0.29,0.68,0.0,0.17,0.22,0.16,0.19,0.84,0.85,0.0,0.862
1062,1062,A66,S6,0.14,0.82,0.0,0.6,0.78,0.77,0.73,0.86,0.69,0.2,0.915
